"Include jQuery","Incluir jQuery"
"Add Slide","Agregar Slide"
"Allows you to include the jQuery library. Enable this options if your store is not currently using it.","Permite incluir la biblioteca jQuery. Habilite esta opción si su tienda no está usándola actualmente."
"Change status","Cambiar estado"
"Delete","Borrar"
"Delete Image","Borrar Imagen"
"Delete Slide","Borrar Slide"
"Disabled","Deshabilitado"
"Enabled","Habilitado"
"Example: /directory (do not use slash at the end). This directory gonna be placed into the /media directory.","Ejemplo: /directorio (no utilice la barra al final). Este directorio será creado dentro del directorio /media."
"Filename","Archivo"
"From","Desde"
"Height","Alto"
"Height size (in px) used on main image.","Alto (en px) utilizado en la imagen principal."
"Height size (in px) used on thumbnails into the admin grid.","Alto (en px) utilizado en las miniaturas en la grilla del administrador."
"ID","ID"
"Images folder","Carpeta de imágenes"
"Javascript","Javascript"
"Name","Nombre"
"No","No"
"Options","Opciones"
"Plugin","Plugin"
"Position","Posición"
"Save Slide","Guardar Slide"
"Select which plugin will be used for the Slider.","Seleccione cual plugin se utilizará para el Slider."
"Slide does not exist","El Slide no existe"
"Slide Information","Información del Slide"
"Slide was successfully deleted","El Slide fue borrado correctamente"
"Slide was successfully saved","El Slide fue guardado correctamente"
"Slider","Slider"
"Slider Image Settings","Opciones de imagen del Slider"
"Slider Information","Información del Slider"
"Slider Manager","Administrador del Slider"
"Status","Estado"
"Thumbnail Image Settings","Opciones de imagen de la Miniatura"
"To","Hasta"
"Url","Url"
"Width","Ancho"
"Width size (in px) used on main image.","Ancho (en px) utilizado en la imagen principal."
"Width size (in px) used on thumbnails into the admin grid.","Ancho (en px) utilizado en las miniaturas en la grilla del administrador."
"Yes","Si"
